timestep,episode,fps,elapsed_time,ep_len_mean,ep_rew_mean,train/loss,train/learning_rate,train/n_updates,rollout/exploration_rate,time/total_timesteps
5000,0,230.50942275544995,21.691087245941162,0,0,0,0,0,0.9938762250000001,5000
10000,0,228.1995619070958,43.821293592453,0,0,0.0003775942896027118,0.0002,2498,0.9877512249999999,10000
15000,0,226.4010730381159,66.25410294532776,0,0,0.0006785791338188574,0.0002,4998,0.9816262250000001,15000
20000,0,228.76051171151883,87.42767643928528,0,0,0.0005248513261904009,0.0002,7498,0.9755012249999999,20000
25000,0,229.56734969471552,108.9005036354065,0,0,0.0009031775989569724,0.0002,9998,0.969376225,25000
30000,0,229.66469030997504,130.62521696090698,0,0,0.00083852608804591,0.0002,12498,0.9632512249999998,30000
35000,0,231.43542487367776,151.23008942604065,0,0,0.0011787103430833668,0.0002,14998,0.957126225,35000
40000,0,230.09564980582553,173.8407485485077,0,0,0.0008147517801262438,0.0002,17498,0.9510012250000002,40000
45000,0,228.89768458922504,196.59438705444336,0,0,0.0006443789170589298,0.0002,19998,0.944876225,45000
50000,0,230.3186437908453,217.0905454158783,0,0,0.0004795563581865281,0.0002,22498,0.9387512250000001,50000
55000,0,229.30626236324642,239.8538942337036,0,0,0.0010654143989086151,0.0002,24998,0.9326262249999999,55000
60000,0,226.1206788499704,265.34503746032715,0,0,0.0011494278442114592,0.0002,27498,0.9265012250000001,60000
65000,0,226.97242446956437,286.3784010410309,0,0,0.0006480520532932132,0.0002,29998,0.9203762249999999,65000
70000,0,225.30863902888447,310.6849355697632,0,0,0.003619226161390543,0.0002,32498,0.9142512250000001,70000
75000,0,224.40351630167783,334.219361782074,0,0,0.0031923989299684763,0.0002,34998,0.908126225,75000
80000,0,225.2796326830989,355.1142153739929,0,0,0.001702256966382265,0.0002,37498,0.9020012250000001,80000
85000,0,224.44047979226133,378.7195611000061,0,0,0.0020320287439972162,0.0002,39998,0.895876225,85000
